Qty,Designator,Footprint,Comment,LCSC Part #,Description,Value
1,Z_OUT,SML0603,LEDSML0603,,LED,
5,"C20, C21, C22, C23, C26",0603-CAP,0.1UF-25V-5%(0603),,CAP-08604,0.1uF
2,"R5, R6",0603-RES@1,100OHM-1/10W-1%(0603),,RES-07863,100
1,R14,RESC1005X40,R_CHIP-0402(1005-METRIC),,Resistor Fixed - Generic,100k
12,"C5, C6, C7, C8, C9, C10, C11, C12, C16, C17, C24, C25",CAPC1005X60,C_CHIP-0402(1005-METRIC),,Capacitor - Generic,100nF
1,R9,0603-RES@1,10KOHM-1/10W-1%(0603)0603,,RES-00824,10K
2,"C18, C19",1210,10UF50V20%(1210),,CAP-09824,10uF
1,R16,0603-RES,RESISTOR0603,,Resistor,15
2,"R3, R12",RESC1005X40,R_CHIP-0402(1005-METRIC),,Resistor Fixed - Generic,1K
1,R2,RESC1005X40,R_CHIP-0402(1005-METRIC),,Resistor Fixed - Generic,1R
5,"C3, C4, C13, C14, C15",CAPC1005X60,C_CHIP-0402(1005-METRIC),,Capacitor - Generic,1uF
1,R1,RESC1005X40,R_CHIP-0402(1005-METRIC),,Resistor Fixed - Generic,200R
1,R8,0603-RES,20KOHM1/10W1%(0603),,RES-09383,20k
2,"R10, R11",RESC1005X40,R_CHIP-0402(1005-METRIC),,Resistor Fixed - Generic,27.4R
1,P2,SOT23-5,V_REG_AP2112K-3.3V,,AP2112 - 600mA CMOS LDO Regulator w/ Enable,3.3V
1,L1,805,INDUCTOR0805-IND,,Inductors,3.3uH
2,"C1, C2",CAPC1005X60,C_CHIP-0402(1005-METRIC),,Capacitor - Generic,30pF
1,R15,RESC1005X40,R_CHIP-0402(1005-METRIC),,Resistor Fixed - Generic,49.9R
1,R7,0603-RES,8.2KOHM-1/10W-5%(0603),,RES-10646,8.2K
1,X6,JST-XH-02-PACKAGE-LONG-PAD,JST-XH-02-PIN-LONG-PAD,,JST XH Connector 2 Pin,ABL_LED
2,"BOOT, RST",B3U-1000P(M)-B,B3U-X000B3U-1000P(M)-B1000P(M)-B,,Ultra-small Tactile Switch,B3U-1000P(M)-B
1,X1,CRYSTAL_3225,CRYSTAL_TAXM12M4RLBDDT2T_3225,,,CRYSTAL_TAXM12M4RLBDDT2T_3225
1,R13,RESC1005X40,R_CHIP-0402(1005-METRIC),,Resistor Fixed - Generic,DO NOT FIT (10K)
1,F1,FUSC1608X60N,FUSE_CHIP-0603(1608-METRIC),,Fuse - Generic,FUSE_CHIP-0603(1608-METRIC)
1,U3,SO16,HX711HX711,,,HX711
1,X5,JST-XH-03-PACKAGE-LONG-PAD,JST-XH-03-PIN-LONG-PAD,,JST XH Connector 2 Pin,INPUT
1,D3,LEDC1608X35N_FLAT-G,CHIP-FLAT-G_0603-0.35MM,,,LED_G
1,X3,JST-XH-04-PACKAGE-LONG-PAD,JST-XH-04-PIN-LONG-PAD,,JST XH Connector 2 Pin,LOADCELL 1
1,X2,JST-XH-04-PACKAGE-LONG-PAD,JST-XH-04-PIN-LONG-PAD,,JST XH Connector 2 Pin,LOADCELL 2
1,X4,JST-XH-04-PACKAGE-LONG-PAD,JST-XH-04-PIN-LONG-PAD,,JST XH Connector 2 Pin,LOADCELL 3
1,D1,SODFL3718X115,SCHOTTKY_MBR0520LT1GDO-219,,Schottky Diode - Popular parts,MBR0520LT1G
1,Q1,SOT23-3,TRANSISTOR_PNPMMBT4403,,Generic PNP BJT,MMBT4403
1,R4,RESC1005X40,R_CHIP-0402(1005-METRIC),,Resistor Fixed - Generic,NO-FIT
1,U1,IC57_RP2040-L,RP2040IC57_RP2040-L,,,RP2040
1,SJ3,SJ_2S-TRACE,SOLDERJUMPERTRACE,,Solder Jumper,SOLDERJUMPERTRACE
2,"IO1, IO2",PAD.03X.03,TEST-POINT3,,SparkFun Test Points,TEST-POINT3
1,3.3V,PAD.03X.04,TEST-POINT3X4,,SparkFun Test Points,TEST-POINT3X4
3,"+5V, GND, ZOUT","B2,54","TPB2,54",,Test pad,"TPB2,54"
1,USB,CONN12_KH-TYPE-C-16P,USB-C(KH-TYPE-C-16P),,Shenzhen Kinghelm Elec KH-TYPE-C-16P,USB-C(KH-TYPE-C-16P)
1,D2,SOT-666_STM-L,USBLC6-2P6SOT-666_STM-L,,,USBLC6-2P6SOT-666_STM-L
1,U2,SOIC_128JVSIQ_WIN-L,W25Q128JVSIQSOIC_128JVSIQ_WIN-L,,,W25Q128
