Designator,Mid X,Mid Y,Layer,Rotation
+5V,53.09mm,15.75mm,Top,0
3.3V,60.45mm,74.17mm,Top,0
BOOT,56.9mm,65.02mm,Top,0
C1,67.31mm,35.81mm,Top,0
C2,72.65mm,35.81mm,Top,180
C3,75.95mm,51.05mm,Top,90
C4,74.93mm,51.05mm,Top,90
C5,71.12mm,52.58mm,Top,90
C6,65.79mm,47.24mm,Top,180
C7,78.48mm,43.69mm,Top,0
C8,72.39mm,38.36mm,Top,270
C9,78.48mm,47.24mm,Top,0
C10,66.04mm,42.67mm,Top,180
C11,69.85mm,52.58mm,Top,90
C12,73.66mm,38.36mm,Top,270
C13,78.48mm,49.28mm,Top,0
C14,86.61mm,62.48mm,Top,0
C15,88.65mm,51.05mm,Top,180
C16,93.47mm,62.48mm,Top,180
C17,92.71mm,50.8mm,Top,0
C18,97.54mm,49.02mm,Top,0
C19,87.38mm,25.4mm,Top,270
C20,96.01mm,38.35mm,Top,270
C21,91.95mm,46.48mm,Top,270
C22,91.69mm,32.51mm,Top,90
C23,90.17mm,25.65mm,Top,270
C24,65.53mm,58.93mm,Top,0
C25,61.47mm,66.55mm,Top,90
C26,89.15mm,46.48mm,Top,270
D1,81.53mm,62.23mm,Top,90
D2,72.9mm,64.77mm,Top,90
D3,52.07mm,58.67mm,Top,0
F1,85.85mm,68.33mm,Top,90
GND,58.67mm,15.75mm,Top,0
IO1,57.91mm,74.17mm,Top,0
IO2,55.37mm,74.17mm,Top,0
L1,84.84mm,32.51mm,Top,90
P2,90.17mm,56.13mm,Top,180
Q1,82.3mm,32.46mm,Top,180
R1,78.74mm,50.8mm,Top,270
R2,77.22mm,50.8mm,Top,90
R3,69.85mm,36.58mm,Top,90
R4,74.17mm,32.77mm,Top,270
R5,96.27mm,32.51mm,Top,90
R6,94.23mm,32.51mm,Top,90
R7,89.41mm,32.51mm,Top,90
R8,87.12mm,32.51mm,Top,90
R9,85.09mm,46.48mm,Top,90
R10,72.14mm,51.31mm,Top,270
R11,73.41mm,51.31mm,Top,270
R12,60.96mm,61.98mm,Top,180
R13,58.67mm,59.18mm,Top,90
R14,77.72mm,39.62mm,Top,90
R15,55.12mm,59.18mm,Top,90
R16,80.26mm,28.96mm,Top,0
RST,56.9mm,68.07mm,Top,0
SJ3,85.85mm,72.39mm,Top,90
U1,72.14mm,44.7mm,Top,0
U2,61.98mm,54.61mm,Top,0
U3,88.9mm,39.37mm,Top,0
USB,71.91mm,72.53mm,Top,180
X1,69.34mm,33.02mm,Top,0
ZOUT,64.01mm,15.75mm,Top,0
Z_OUT,77.47mm,31.75mm,Top,270
