Designator,Mid X,Mid Y,Layer,Rotation
1A_0,39.47mm,1.29mm,Top,180
1A_1,65.24mm,1.08mm,Top,0
1A_2,91.57mm,1.15mm,Top,0
1A_3,116.01mm,1.13mm,Top,0
1B_0,36.92mm,1.25mm,Top,180
1B_1,62.67mm,1.16mm,Top,0
1B_2,88.98mm,1.12mm,Top,0
1B_3,113.47mm,1.15mm,Top,0
2A_0,42.01mm,1.29mm,Top,180
2A_1,67.7mm,1.08mm,Top,0
2A_2,94.03mm,1.15mm,Top,0
2A_3,118.53mm,1.22mm,Top,0
2B_0,44.59mm,1.29mm,Top,180
2B_1,70.32mm,1.08mm,Top,0
2B_2,96.65mm,1.15mm,Top,0
2B_3,121.15mm,1.22mm,Top,0
3.3V,21.57mm,16.86mm,Top,0
5V,21.53mm,19.36mm,Top,0
24V,21.53mm,22.21mm,Top,0
BOOT,28.31mm,30.16mm,Top,180
C1,100.53mm,29.5mm,Top,90
C2,108.15mm,29.37mm,Top,90
C3,97.37mm,50.94mm,Top,90
C4,95.87mm,50.36mm,Top,90
C5,111.78mm,40.43mm,Top,0
C6,104.43mm,33.43mm,Top,0
C7,89.92mm,37.57mm,Top,180
C8,89.77mm,34.57mm,Top,180
C9,111.88mm,37.93mm,Top,0
C10,104.72mm,47.49mm,Top,90
C11,103.22mm,47.64mm,Top,90
C12,104.29mm,34.28mm,Top,0
C13,111.87mm,44.18mm,Top,90
C14,73.91mm,47.29mm,Top,0
C15,66.56mm,46.77mm,Top,90
C16,73.9mm,46.2mm,Top,0
C17,65.19mm,46.57mm,Top,90
C18,69.31mm,33.21mm,Top,90
C19,67.47mm,33.07mm,Top,90
C20,80.78mm,39.77mm,Top,180
C21,83.14mm,36.76mm,Top,180
C22,86.67mm,36.37mm,Top,0
C23,78.46mm,32.09mm,Top,180
C24,92.98mm,50.47mm,Top,0
C25,45.86mm,16.93mm,Top,0
C26,71.54mm,16.93mm,Top,0
C27,59.13mm,36.95mm,Top,180
C28,58.87mm,35.53mm,Top,180
C29,97.84mm,16.96mm,Top,0
C30,123.37mm,16.94mm,Top,0
C39,30.15mm,36.21mm,Top,0
D1,126.58mm,32.41mm,Top,0
D2,119.mm,45.21mm,Top,0
D3,64.99mm,43.72mm,Top,90
F1,127.54mm,37.07mm,Top,90
FD1,19.81mm,8.36mm,Top,0
FD2,134.77mm,8.36mm,Top,0
FD3,134.73mm,63.36mm,Top,0
FS0,136.mm,36.mm,Top,0
FS1,136.mm,33.5mm,Top,0
FS2,136.mm,31.mm,Top,0
FS3,136.mm,28.5mm,Top,0
GND,21.5mm,13.5mm,Top,0
IO1,101.66mm,69.26mm,Top,0
IO2,105.2mm,69.26mm,Top,0
L1,74.95mm,41.45mm,Top,180
L2,34.65mm,42.65mm,Top,180
LOAD0,29.99mm,69.27mm,Top,0
LOAD1,58.01mm,69.16mm,Top,0
LOAD2,84.49mm,69.18mm,Top,0
LOAD3,112.48mm,69.mm,Top,0
LOAD_0,21.5mm,54.5mm,Top,0
LOAD_1,21.5mm,46.5mm,Top,0
LOAD_2,21.5mm,38.5mm,Top,0
LOAD_3,21.5mm,30.mm,Top,0
P1,73.76mm,35.09mm,Top,0
P2,70.09mm,47.61mm,Top,0
R1,112.51mm,42.07mm,Top,180
R2,111.07mm,47.17mm,Top,90
R3,106.24mm,32.19mm,Top,180
R4,103.95mm,32.19mm,Top,180
R5,65.87mm,31.mm,Top,0
R6,69.23mm,36.52mm,Top,90
R7,81.61mm,32.8mm,Top,0
R8,78.13mm,34.23mm,Top,0
R9,78.28mm,35.89mm,Top,180
R10,44.62mm,21.86mm,Top,180
R11,70.4mm,21.68mm,Top,180
R12,97.35mm,22.09mm,Top,180
R13,122.38mm,22.12mm,Top,180
R14,28.3mm,51.12mm,Top,0
R15,66.74mm,43.78mm,Top,90
R16,23.89mm,41.2mm,Top,180
R17,56.3mm,51.07mm,Top,0
R18,70.38mm,53.07mm,Top,0
R19,85.3mm,50.9mm,Top,0
R20,98.38mm,53.4mm,Top,0
R21,117.12mm,51.4mm,Top,0
R22,127.53mm,51.43mm,Top,0
R23,32.71mm,28.2mm,Top,270
R24,32.44mm,31.15mm,Top,90
R25,32.06mm,33.42mm,Top,270
R29,100.24mm,47.83mm,Top,270
R30,101.49mm,47.76mm,Top,270
R31,37.84mm,51.32mm,Top,0
RESET,28.31mm,33.32mm,Top,180
SJ1,24.07mm,45.mm,Top,180
SJ3,127.49mm,40.99mm,Top,90
U1,99.15mm,40.71mm,Top,0
U2,86.28mm,44.95mm,Top,0
U3,59.32mm,42.42mm,Top,180
UNLOAD0,43.mm,69.27mm,Top,0
UNLOAD1,71.51mm,69.17mm,Top,0
UNLOAD2,97.48mm,69.17mm,Top,0
UNLOAD3,125.52mm,69.08mm,Top,0
UNLOAD_0,21.5mm,50.5mm,Top,0
UNLOAD_1,21.5mm,42.5mm,Top,0
UNLOAD_2,21.5mm,34.mm,Top,0
UNLOAD_3,21.5mm,26.mm,Top,0
USB,134.35mm,44.6mm,Top,90
X1,104.84mm,29.5mm,Top,0
